Subject,Start Date,Start Time,End Date,End Time,Description
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",02/11/2025,11:15 AM,02/11/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",02/18/2025,11:15 AM,02/18/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",02/25/2025,11:15 AM,02/25/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/04/2025,11:15 AM,03/04/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/11/2025,11:15 AM,03/11/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/18/2025,11:15 AM,03/18/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",03/25/2025,11:15 AM,03/25/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/01/2025,11:15 AM,04/01/2025,12:50 PM,"Пр_П Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/08/2025,11:15 AM,04/08/2025,12:50 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/15/2025,11:15 AM,04/15/2025,12:50 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/22/2025,11:15 AM,04/22/2025,12:50 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10; №1",04/29/2025,11:15 AM,04/29/2025,12:50 PM,"ОПJ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",02/11/2025,01:10 PM,02/11/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",02/18/2025,01:10 PM,02/18/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",02/25/2025,01:10 PM,02/25/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/04/2025,01:10 PM,03/04/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/11/2025,01:10 PM,03/11/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/18/2025,01:10 PM,03/18/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",03/25/2025,01:10 PM,03/25/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/01/2025,01:10 PM,04/01/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
"Філ Лк DL ПЗПІ-23-6,7,8,9,10; №2",04/08/2025,01:10 PM,04/08/2025,02:45 PM,"Філ Лк DL ПЗПІ-23-6,7,8,9,10"
