"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ВПВПС-24-1 - ІКГ Лк DL ВПВПС-24-1,2","10.02.2025","07:45:00","10.02.2025","09:20:00","Ложь","Истина","10.02.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ІКГ Лк DL ВПВПС-24-1,2","17.02.2025","07:45:00","17.02.2025","09:20:00","Ложь","Истина","17.02.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ІКГ Лк DL ВПВПС-24-1,2","24.02.2025","07:45:00","24.02.2025","09:20:00","Ложь","Истина","24.02.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ВМ Пз DL ВПВПС-24-1","03.03.2025","07:45:00","03.03.2025","09:20:00","Ложь","Истина","03.03.2025","07:40:00","2","Обычная","ВМ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ВМ Пз DL ВПВПС-24-1","10.03.2025","07:45:00","10.03.2025","09:20:00","Ложь","Истина","10.03.2025","07:40:00","2","Обычная","ВМ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІКГ Лк DL ВПВПС-24-1,2","17.03.2025","07:45:00","17.03.2025","09:20:00","Ложь","Истина","17.03.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ІКГ Лк DL ВПВПС-24-1,2","24.03.2025","07:45:00","24.03.2025","09:20:00","Ложь","Истина","24.03.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ІКГ Пз DL ВПВПС-24-1","31.03.2025","07:45:00","31.03.2025","09:20:00","Ложь","Истина","31.03.2025","07:40:00","2","Обычная","ІКГ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІКГ Лк DL ВПВПС-24-1,2","07.04.2025","07:45:00","07.04.2025","09:20:00","Ложь","Истина","07.04.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ІКГ Пз DL ВПВПС-24-1","14.04.2025","07:45:00","14.04.2025","09:20:00","Ложь","Истина","14.04.2025","07:40:00","2","Обычная","ІКГ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-1 - ІКГ Лк DL ВПВПС-24-1,2","21.04.2025","07:45:00","21.04.2025","09:20:00","Ложь","Истина","21.04.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ІКГ Лк DL ВПВПС-24-1,2","05.05.2025","07:45:00","05.05.2025","09:20:00","Ложь","Истина","05.05.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-1 - ВМ Пз DL ВПВПС-24-1","19.05.2025","07:45:00","19.05.2025","09:20:00","Ложь","Истина","19.05.2025","07:40:00","2","Обычная","ВМ Пз DL ВПВПС-24-1","Обычный"
"ВПВПС-24-2 - ІКГ Лк DL ВПВПС-24-1,2","10.02.2025","07:45:00","10.02.2025","09:20:00","Ложь","Истина","10.02.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - ІКГ Лк DL ВПВПС-24-1,2","17.02.2025","07:45:00","17.02.2025","09:20:00","Ложь","Истина","17.02.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - ІКГ Лк DL ВПВПС-24-1,2","24.02.2025","07:45:00","24.02.2025","09:20:00","Ложь","Истина","24.02.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - ІКГ Лк DL ВПВПС-24-1,2","17.03.2025","07:45:00","17.03.2025","09:20:00","Ложь","Истина","17.03.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - ІКГ Лк DL ВПВПС-24-1,2","24.03.2025","07:45:00","24.03.2025","09:20:00","Ложь","Истина","24.03.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - ІКГ Лк DL ВПВПС-24-1,2","07.04.2025","07:45:00","07.04.2025","09:20:00","Ложь","Истина","07.04.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - ІКГ Лк DL ВПВПС-24-1,2","21.04.2025","07:45:00","21.04.2025","09:20:00","Ложь","Истина","21.04.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ВПВПС-24-2 - ІКГ Лк DL ВПВПС-24-1,2","05.05.2025","07:45:00","05.05.2025","09:20:00","Ложь","Истина","05.05.2025","07:40:00","2","Обычная","ІКГ Лк DL ВПВПС-24-1,2","Обычный"
"ІТУ-24-1 - ЧМ Лк DL ІТУ-24-1","10.02.2025","07:45:00","10.02.2025","09:20:00","Ложь","Истина","10.02.2025","07:40:00","2","Обычная","ЧМ Лк DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","10.03.2025","07:45:00","10.03.2025","09:20:00","Ложь","Истина","10.03.2025","07:40:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","24.03.2025","07:45:00","24.03.2025","09:20:00","Ложь","Истина","24.03.2025","07:40:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","31.03.2025","07:45:00","31.03.2025","09:20:00","Ложь","Истина","31.03.2025","07:40:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
"ІТУ-24-1 - ООПро Пз DL ІТУ-24-1","21.04.2025","07:45:00","21.04.2025","09:20:00","Ложь","Истина","21.04.2025","07:40:00","2","Обычная","ООПро Пз DL ІТУ-24-1","Обычный"
